naca,Re,reference_case,reference_AoA,case,AoA,max_abs_pressure_difference_Pa,exact_duplicate_across_AoA
4415,500000.0,case_291,-4.0,case_315,8.0,0.0,True
4415,500000.0,case_291,-4.0,case_319,10.0,0.0,True
4415,1000000.0,case_292,-4.0,case_296,-2.0,0.0,True
4415,1000000.0,case_292,-4.0,case_300,0.0,0.0,True
4415,1000000.0,case_292,-4.0,case_304,2.0,0.0,True
4415,1000000.0,case_292,-4.0,case_308,4.0,0.0,True
4415,1000000.0,case_292,-4.0,case_312,6.0,0.0,True
4415,1000000.0,case_292,-4.0,case_316,8.0,0.0,True
4415,1000000.0,case_292,-4.0,case_320,10.0,0.0,True
4418,100000.0,case_321,-4.0,case_325,-2.0,0.0,True
4418,100000.0,case_321,-4.0,case_329,0.0,0.0,True
4418,100000.0,case_321,-4.0,case_333,2.0,0.0,True
4418,100000.0,case_321,-4.0,case_337,4.0,0.0,True
4418,100000.0,case_321,-4.0,case_341,6.0,0.0,True
4418,100000.0,case_321,-4.0,case_345,8.0,0.0,True
4418,100000.0,case_321,-4.0,case_349,10.0,0.0,True
4418,200000.0,case_322,-4.0,case_326,-2.0,0.0,True
4418,200000.0,case_322,-4.0,case_330,0.0,0.0,True
4418,200000.0,case_322,-4.0,case_334,2.0,0.0,True
4418,200000.0,case_322,-4.0,case_338,4.0,0.0,True
4418,200000.0,case_322,-4.0,case_342,6.0,0.0,True
4418,200000.0,case_322,-4.0,case_346,8.0,0.0,True
4418,200000.0,case_322,-4.0,case_350,10.0,0.0,True
4418,500000.0,case_323,-4.0,case_327,-2.0,0.0,True
4418,500000.0,case_323,-4.0,case_331,0.0,0.0,True
4418,500000.0,case_323,-4.0,case_335,2.0,0.0,True
4418,500000.0,case_323,-4.0,case_339,4.0,0.0,True
4418,500000.0,case_323,-4.0,case_343,6.0,0.0,True
4418,500000.0,case_323,-4.0,case_347,8.0,0.0,True
4418,500000.0,case_323,-4.0,case_351,10.0,0.0,True
4418,1000000.0,case_324,-4.0,case_328,-2.0,0.0,True
4418,1000000.0,case_324,-4.0,case_332,0.0,0.0,True
4418,1000000.0,case_324,-4.0,case_336,2.0,0.0,True
4418,1000000.0,case_324,-4.0,case_340,4.0,0.0,True
4418,1000000.0,case_324,-4.0,case_344,6.0,0.0,True
4418,1000000.0,case_324,-4.0,case_348,8.0,0.0,True
4418,1000000.0,case_324,-4.0,case_352,10.0,0.0,True
4421,100000.0,case_353,-4.0,case_357,-2.0,0.0,True
4421,100000.0,case_353,-4.0,case_361,0.0,0.0,True
4421,100000.0,case_353,-4.0,case_365,2.0,0.0,True
4421,100000.0,case_353,-4.0,case_369,4.0,0.0,True
4421,100000.0,case_353,-4.0,case_373,6.0,0.0,True
4421,100000.0,case_353,-4.0,case_377,8.0,0.0,True
4421,100000.0,case_353,-4.0,case_381,10.0,0.0,True
4421,200000.0,case_354,-4.0,case_358,-2.0,0.0,True
4421,200000.0,case_354,-4.0,case_362,0.0,0.0,True
4421,200000.0,case_354,-4.0,case_366,2.0,0.0,True
4421,200000.0,case_354,-4.0,case_370,4.0,0.0,True
4421,200000.0,case_354,-4.0,case_374,6.0,0.0,True
4421,200000.0,case_354,-4.0,case_378,8.0,0.0,True
4421,200000.0,case_354,-4.0,case_382,10.0,0.0,True
4421,500000.0,case_355,-4.0,case_359,-2.0,0.0,True
4421,500000.0,case_355,-4.0,case_363,0.0,0.0,True
4421,500000.0,case_355,-4.0,case_367,2.0,0.0,True
4421,500000.0,case_355,-4.0,case_371,4.0,0.0,True
4421,500000.0,case_355,-4.0,case_375,6.0,0.0,True
4421,500000.0,case_355,-4.0,case_379,8.0,0.0,True
4421,500000.0,case_355,-4.0,case_383,10.0,0.0,True
4421,1000000.0,case_356,-4.0,case_360,-2.0,0.0,True
4421,1000000.0,case_356,-4.0,case_364,0.0,0.0,True
4421,1000000.0,case_356,-4.0,case_368,2.0,0.0,True
4421,1000000.0,case_356,-4.0,case_372,4.0,0.0,True
4421,1000000.0,case_356,-4.0,case_376,6.0,0.0,True
4421,1000000.0,case_356,-4.0,case_380,8.0,0.0,True
4421,1000000.0,case_356,-4.0,case_384,10.0,0.0,True
