AoA,Cd,Cl,L_over_D,cache_key,case_id,error,evaluation,m,min_cavitation_margin,objective,p,risky_cell_fraction,start,status,t,wall_seconds
4.064854851500282,0.02430008,0.6096301,25.086543478726043,2883765eec4d,start_2412_eval_069_2883765eec4d,,69,0.020387405131030878,98884.406051,25.086543478726043,0.4029357222911343,0.0,2412,ok,0.11674775969832529,9.887568582998938
4.065519833454919,0.02235486,0.6107096,27.317651837146947,bc5bc0044691,start_2412_eval_070_bc5bc0044691,,70,0.020377736988444216,98886.434946,27.317651837146947,0.4034880390376863,0.0,2412,ok,0.11677821022015204,9.67607529200177
4.06420991331151,0.02430094,0.609568,25.08310036153492,96da9837d5fb,start_2412_eval_071_96da9837d5fb,,71,0.020382809052444856,98884.410039,25.08310036153492,0.40317252336815407,0.0,2412,ok,0.1167521979612023,9.803191999999399
4.065625652839227,0.02235455,0.6107267,27.31879555636072,426a6b16da35,start_2412_eval_072_426a6b16da35,,72,0.02037969168663961,98886.438934,27.31879555636072,0.4033828123728853,0.0,2412,ok,0.11677456311094724,9.811277999993763
4.064840555563876,0.02447387,0.619332,25.304812650690277,e45923f5ca89,start_2412_eval_073_e45923f5ca89,,73,0.020384701977802865,98883.068077,25.304812650690277,0.40308477970586304,0.0,2412,ok,0.11675418234731007,10.110761332995025
4.065350013982158,0.02235114,0.6106326,27.318753372160337,564092880526,start_2412_eval_074_564092880526,,74,0.020379478235783878,98886.455883,27.318753372160337,0.4033872242047305,0.0,2412,ok,0.11677220325194154,10.38308266599779
4.065010375036637,0.02234449,0.6105627,27.32375526336634,1c1768bbd263,start_2412_eval_075_1c1768bbd263,,75,0.020382960730463202,98886.478814,27.32375526336634,0.40318559453881886,0.0,2412,ok,0.11676018931552057,10.258965624998382
4.064427097278273,0.02430333,0.6095233,25.078794601620366,8129adedcfa9,start_2412_eval_076_8129adedcfa9,,76,0.020384381801519268,98884.418015,25.078794601620366,0.40309139745363076,0.0,2412,ok,0.1167506425588015,10.10459141600586
4.065326013948988,0.02235006,0.6106313,27.32001524759899,fb18c8d28fd6,start_2412_eval_077_fb18c8d28fd6,,77,0.020380864215359527,98886.461865,27.32001524759899,0.4033099586430717,0.0,2412,ok,0.1167685829729108,9.916680249996716
4.064726736168511,0.02234357,0.6105608,27.324795241080942,485ecf67a72e,start_2412_eval_078_485ecf67a72e,,78,0.020383209272799352,98886.48679,27.324795241080942,0.4031642511834444,0.0,2412,ok,0.11675662269683794,9.965529542001605
